;Country;;;;;;;Haven Score
;Andorra;94,29;50,00;95,83;100;5,12;;69,05
;Anguilla;100;100;100;100;100;;100
;Aruba;71,43;62,50;100;87,14;0,86;;64,39
;Austria;28,57;28,83;83,33;70;47,21;;51,59
;Bahamas;100;100;100;100;100;;100
;Belgium;91,55;66,07;62,50;91;28,08;;67,84
;Bermuda;100;100;100;100;100;;100
;Botswana;37,14;47,32;91,67;98;2,16;;55,26
;British Virgin Islands;100;100;100;100;100;;100
;Bulgaria;71,43;25,64;62,50;96;22,28;;55,57
;Cayman Islands;100;100;100;100;100;;100
;China;28,57;42,83;100;95;25,10;;58,30
;Croatia;48,57;28,47;91,67;76;27,96;;54,53
;Curacao;100;61,96;100;96;2,26;;72
;Cyprus;64,29;59,82;83,33;100;48,21;;71,13
;Czech Republic;45,71;35,71;79,17;100;33,86;;58,89
;Denmark;37,14;26,76;79,17;75;40,45;;51,70
;Estonia;100;42,86;79,17;93;17,60;;67
;Finland;42,86;33,93;79,17;78;41,21;;55,03
;France;1,63;77,21;58,33;78;63,34;;55,70
;Gambia;22,86;16,58;100,00;100;0,52;;47,99
;Germany;34,77;37,03;70,00;73;46,88;;52,34
;Ghana;28,57;38,65;83,33;96,00;0,91;;49,49
;Gibraltar;100;35,46;92,50;100;0,00;;66
;Greece;17,14;38,39;83,33;46;10,42;;39,06
;Guernsey;100;100;87,50;100;100;;98
;Hong Kong;100;47,32;94,17;100;23,65;;73
;Hungary;74,29;51,73;83,33;93;43,14;;69,10
;Ireland;99,99;62,50;71,67;95;49,18;;75,67
;Isle of Man;100;100;100,00;100;100;;100
;Italy;23,14;49,51;75,00;78;27,08;;50,55
;Jersey;100;100;91,67;100;100;;98
;Kenya;14,29;60,71;83,33;95;0,82;;50,83
;Latvia;100;44,64;87,50;93;15,49;;68
;Lebanon;100;67,86;79,17;100;17,19;;73
;Liberia;28,57;32,40;86,67;97,14;0;;48,96
;Liechtenstein;64,29;67,86;100;100;15,40;;69,51
;Lithuania;57,14;47,32;83,33;78;8,34;;54,83
;Luxembourg;99,14;58,93;70,83;93;40,27;;72,44
;Macao;65,71;33,27;83,33;100;0,94;;56,65
;Malta;85,71;70,54;79,17;93;39,15;;73,51
;Mauritius;100;75,00;91,67;100;32,51;;80
;Monaco;100;51,79;79,17;100;6,84;;68
;Montserrat;100;51,79;83,33;91,43;0,46;;65
;Netherlands;93,03;66,07;87,50;90;53,47;;78,01
;Panama;100;57,24;100;97,14;4,53;;72
;Poland;45,71;10,10;75,83;51;19,60;;40,45
;Portugal (Madeira);14,29;53,57;75,00;76;10,35;;45,84
;Romania;54,29;38,39;91,67;75;18,69;;55,61
;San Marino;51,43;39,85;100;100;16,29;;61,51
;Seychelles;100;62,50;93,75;70;14,29;;68
;Singapore;100;76,79;95,83;100;34,15;;81
;Slovakia;40,00;44,11;70,83;86;23,81;;52,95
;Slovenia;45,71;31,84;75,00;76;19,31;;49,57
;South Africa;20,00;32,93;77,08;73;32,61;;47,12
;Spain;28,57;55,36;62,50;78;48,27;;54,54
;Sweden;37,14;37,50;79,17;75;51,06;;55,97
;Switzerland;92,54;65,18;100,00;100;58,84;;83,31
;Taiwan;42,86;30,36;75,00;79;6,60;;46,76
;Tanzania;14,29;34,06;99,17;82,14;0,77;;46,08
;Turks and Caicos Islands;100;100;100;100;100;;100
;United Arab Emirates (Dubai);100;100;91,67;100;100;;98
;United Kingdom;45,71;55,36;58,33;93,00;64,86;;63,45
;USA;40;37,86;76,67;27,86;33,68;;43